1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878363 cmd_find_current_client: no target, return (nil)
1715353443.878367 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878369 cmd_find_current_client: no target, return (nil)
1715353443.878374 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878377 cmd_find_current_client: no target, return (nil)
1715353443.878381 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878384 cmd_find_current_client: no target, return (nil)
1715353443.878389 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878391 cmd_find_current_client: no target, return (nil)
1715353443.878396 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878398 cmd_find_current_client: no target, return (nil)
1715353443.878402 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878406 cmd_find_current_client: no target, return (nil)
1715353443.878411 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878414 cmd_find_current_client: no target, return (nil)
1715353443.878419 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878422 cmd_find_current_client: no target, return (nil)
1715353443.878427 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878430 cmd_find_current_client: no target, return (nil)
1715353443.878434 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878437 cmd_find_current_client: no target, return (nil)
1715353443.878442 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.878445 cmd_find_current_client: no target, return (nil)
1715353443.878450 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879155 cmd_find_current_client: no target, return (nil)
1715353443.879633 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879640 cmd_find_current_client: no target, return (nil)
1715353443.879649 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879655 cmd_find_current_client: no target, return (nil)
1715353443.879666 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879672 cmd_find_current_client: no target, return (nil)
1715353443.879680 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879686 cmd_find_current_client: no target, return (nil)
1715353443.879694 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879700 cmd_find_current_client: no target, return (nil)
1715353443.879709 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879715 cmd_find_current_client: no target, return (nil)
1715353443.879726 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879732 cmd_find_current_client: no target, return (nil)
1715353443.879743 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879750 cmd_find_current_client: no target, return (nil)
1715353443.879759 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879766 cmd_find_current_client: no target, return (nil)
1715353443.879777 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879783 cmd_find_current_client: no target, return (nil)
1715353443.879794 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879806 cmd_find_current_client: no target, return (nil)
1715353443.879817 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879823 cmd_find_current_client: no target, return (nil)
1715353443.879839 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879845 cmd_find_current_client: no target, return (nil)
1715353443.879857 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879863 cmd_find_current_client: no target, return (nil)
1715353443.879879 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879885 cmd_find_current_client: no target, return (nil)
1715353443.879900 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879906 cmd_find_current_client: no target, return (nil)
1715353443.879921 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879927 cmd_find_current_client: no target, return (nil)
1715353443.879942 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879948 cmd_find_current_client: no target, return (nil)
1715353443.879959 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879965 cmd_find_current_client: no target, return (nil)
1715353443.879976 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879982 cmd_find_current_client: no target, return (nil)
1715353443.879992 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.879998 cmd_find_current_client: no target, return (nil)
1715353443.880019 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880021 cmd_find_current_client: no target, return (nil)
1715353443.880027 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880029 cmd_find_current_client: no target, return (nil)
1715353443.880034 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880037 cmd_find_current_client: no target, return (nil)
1715353443.880042 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880044 cmd_find_current_client: no target, return (nil)
1715353443.880048 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880051 cmd_find_current_client: no target, return (nil)
1715353443.880055 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880058 cmd_find_current_client: no target, return (nil)
1715353443.880062 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880065 cmd_find_current_client: no target, return (nil)
1715353443.880069 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880072 cmd_find_current_client: no target, return (nil)
1715353443.880081 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880084 cmd_find_current_client: no target, return (nil)
1715353443.880088 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880091 cmd_find_current_client: no target, return (nil)
1715353443.880095 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880098 cmd_find_current_client: no target, return (nil)
1715353443.880101 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880104 cmd_find_current_client: no target, return (nil)
1715353443.880108 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880111 cmd_find_current_client: no target, return (nil)
1715353443.880116 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880119 cmd_find_current_client: no target, return (nil)
1715353443.880123 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880126 cmd_find_current_client: no target, return (nil)
1715353443.880130 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880133 cmd_find_current_client: no target, return (nil)
1715353443.880137 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880140 cmd_find_current_client: no target, return (nil)
1715353443.880145 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880148 cmd_find_current_client: no target, return (nil)
1715353443.880152 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880155 cmd_find_current_client: no target, return (nil)
1715353443.880159 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880162 cmd_find_current_client: no target, return (nil)
1715353443.880169 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880172 cmd_find_current_client: no target, return (nil)
1715353443.880176 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880179 cmd_find_current_client: no target, return (nil)
1715353443.880184 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880186 cmd_find_current_client: no target, return (nil)
1715353443.880191 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880194 cmd_find_current_client: no target, return (nil)
1715353443.880199 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880202 cmd_find_current_client: no target, return (nil)
1715353443.880207 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880209 cmd_find_current_client: no target, return (nil)
1715353443.880215 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880218 cmd_find_current_client: no target, return (nil)
1715353443.880223 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880225 cmd_find_current_client: no target, return (nil)
1715353443.880230 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880233 cmd_find_current_client: no target, return (nil)
1715353443.880238 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880241 cmd_find_current_client: no target, return (nil)
1715353443.880245 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880248 cmd_find_current_client: no target, return (nil)
1715353443.880252 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880255 cmd_find_current_client: no target, return (nil)
1715353443.880259 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880262 cmd_find_current_client: no target, return (nil)
1715353443.880267 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880270 cmd_find_current_client: no target, return (nil)
1715353443.880275 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880277 cmd_find_current_client: no target, return (nil)
1715353443.880283 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880286 cmd_find_current_client: no target, return (nil)
1715353443.880291 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880294 cmd_find_current_client: no target, return (nil)
1715353443.880298 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880301 cmd_find_current_client: no target, return (nil)
1715353443.880306 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880308 cmd_find_current_client: no target, return (nil)
1715353443.880313 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880316 cmd_find_current_client: no target, return (nil)
1715353443.880320 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.880324 cmd_find_current_client: no target, return (nil)
1715353443.881076 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881084 cmd_find_current_client: no target, return (nil)
1715353443.881093 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881099 cmd_find_current_client: no target, return (nil)
1715353443.881109 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881115 cmd_find_current_client: no target, return (nil)
1715353443.881124 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881131 cmd_find_current_client: no target, return (nil)
1715353443.881140 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881146 cmd_find_current_client: no target, return (nil)
1715353443.881155 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881161 cmd_find_current_client: no target, return (nil)
1715353443.881169 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881175 cmd_find_current_client: no target, return (nil)
1715353443.881194 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881197 cmd_find_current_client: no target, return (nil)
1715353443.881201 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881204 cmd_find_current_client: no target, return (nil)
1715353443.881210 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881213 cmd_find_current_client: no target, return (nil)
1715353443.881217 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881219 cmd_find_current_client: no target, return (nil)
1715353443.881223 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881226 cmd_find_current_client: no target, return (nil)
1715353443.881230 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881233 cmd_find_current_client: no target, return (nil)
1715353443.881238 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881240 cmd_find_current_client: no target, return (nil)
1715353443.881244 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881247 cmd_find_current_client: no target, return (nil)
1715353443.881251 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881254 cmd_find_current_client: no target, return (nil)
1715353443.881259 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881262 cmd_find_current_client: no target, return (nil)
1715353443.881267 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881270 cmd_find_current_client: no target, return (nil)
1715353443.881274 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881277 cmd_find_current_client: no target, return (nil)
1715353443.881281 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881284 cmd_find_current_client: no target, return (nil)
1715353443.881289 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881291 cmd_find_current_client: no target, return (nil)
1715353443.881296 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881298 cmd_find_current_client: no target, return (nil)
1715353443.881303 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881305 cmd_find_current_client: no target, return (nil)
1715353443.881310 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881313 cmd_find_current_client: no target, return (nil)
1715353443.881317 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881320 cmd_find_current_client: no target, return (nil)
1715353443.881324 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881327 cmd_find_current_client: no target, return (nil)
1715353443.881331 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881334 cmd_find_current_client: no target, return (nil)
1715353443.881338 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881341 cmd_find_current_client: no target, return (nil)
1715353443.881345 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881348 cmd_find_current_client: no target, return (nil)
1715353443.881353 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881355 cmd_find_current_client: no target, return (nil)
1715353443.881360 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881363 cmd_find_current_client: no target, return (nil)
1715353443.881367 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881370 cmd_find_current_client: no target, return (nil)
1715353443.881375 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881377 cmd_find_current_client: no target, return (nil)
1715353443.881381 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881384 cmd_find_current_client: no target, return (nil)
1715353443.881388 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881391 cmd_find_current_client: no target, return (nil)
1715353443.881395 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881399 cmd_find_current_client: no target, return (nil)
1715353443.881403 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881406 cmd_find_current_client: no target, return (nil)
1715353443.881410 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881413 cmd_find_current_client: no target, return (nil)
1715353443.881417 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881420 cmd_find_current_client: no target, return (nil)
1715353443.881427 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881430 cmd_find_current_client: no target, return (nil)
1715353443.881434 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881437 cmd_find_current_client: no target, return (nil)
1715353443.881442 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881444 cmd_find_current_client: no target, return (nil)
1715353443.881448 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881451 cmd_find_current_client: no target, return (nil)
1715353443.881455 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881458 cmd_find_current_client: no target, return (nil)
1715353443.881463 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881466 cmd_find_current_client: no target, return (nil)
1715353443.881470 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881473 cmd_find_current_client: no target, return (nil)
1715353443.881477 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881480 cmd_find_current_client: no target, return (nil)
1715353443.881485 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881488 cmd_find_current_client: no target, return (nil)
1715353443.881494 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881497 cmd_find_current_client: no target, return (nil)
